2026-02-22 22:39:59,22.0,53.2,99.8
2026-02-22 22:40:03,63.3,53.4,99.8
2026-02-22 22:40:07,10.4,53.4,99.8
2026-02-22 22:40:10,37.5,53.6,99.8
2026-02-22 22:40:10,37.5,53.6,99.8
2026-02-22 22:40:13,31.6,53.7,99.8
2026-02-22 22:40:14,65.3,53.5,99.8
2026-02-22 22:40:17,90.3,53.3,99.8
2026-02-22 22:40:18,79.7,53.5,99.8
2026-02-22 22:40:21,33.3,53.6,99.8
2026-02-22 22:40:22,48.2,53.6,99.8
2026-02-22 22:40:25,27.1,53.6,99.8
2026-02-22 22:40:25,31.2,53.6,99.8
2026-02-22 22:40:28,21.8,53.6,99.8
2026-02-22 22:40:29,32.0,53.6,99.8
2026-02-22 22:40:32,23.1,53.5,99.8
2026-02-22 22:40:33,40.4,53.5,99.8
2026-02-22 22:40:35,5.4,53.5,99.8
2026-02-22 22:40:37,13.5,53.5,99.8
2026-02-22 22:40:39,23.2,53.5,99.8
2026-02-22 22:40:40,7.1,53.5,99.8
2026-02-22 22:40:42,37.9,53.5,99.8
2026-02-22 22:40:44,26.5,53.6,99.8
2026-02-22 22:40:45,73.1,53.6,99.8
2026-02-22 22:40:48,34.0,53.5,99.8
2026-02-22 22:40:49,49.1,53.5,99.8
2026-02-22 22:40:51,54.9,53.5,99.8
2026-02-22 22:40:53,21.6,53.5,99.8
2026-02-22 22:40:55,29.3,53.5,99.8
2026-02-22 22:40:56,18.4,53.5,99.8
2026-02-22 22:40:58,54.7,53.5,99.8
2026-02-22 22:41:00,26.9,53.5,99.8
2026-02-22 22:41:02,53.6,53.6,99.8
2026-02-22 22:41:04,36.4,53.6,99.8
2026-02-22 22:41:06,35.7,53.6,99.8
2026-02-22 22:41:08,54.2,53.5,99.8
2026-02-22 22:41:11,67.6,53.6,99.8
2026-02-22 22:41:12,39.2,53.5,99.8
2026-02-22 22:41:15,29.8,53.5,99.8
2026-02-22 22:41:16,50.0,53.5,99.8
2026-02-22 22:41:18,39.1,53.5,99.8
2026-02-22 22:41:22,64.4,52.5,99.8
2026-02-22 22:41:26,36.8,53.9,99.8
2026-02-22 22:41:30,90.0,53.9,99.8
2026-02-22 22:41:34,10.0,53.9,99.8
2026-02-22 22:41:37,41.1,53.5,99.8
2026-02-22 22:41:40,36.7,53.2,99.8
2026-02-22 22:41:44,18.4,53.2,99.8
2026-02-22 22:41:47,21.4,53.1,99.8
2026-02-22 22:41:50,32.0,52.9,99.8
2026-02-22 22:41:53,41.2,53.0,99.8
2026-02-22 22:41:57,50.8,53.0,99.8
2026-02-22 22:42:01,48.3,53.0,99.8
2026-02-22 22:42:05,1.9,53.1,99.8
2026-02-22 22:42:08,28.1,53.0,99.8
2026-02-22 22:42:12,24.5,53.0,99.8
2026-02-22 22:42:15,18.8,53.0,99.8
2026-02-22 22:42:18,15.7,53.0,99.8
2026-02-22 22:42:21,19.6,52.9,99.8
2026-02-22 22:42:25,40.8,53.0,99.8
2026-02-22 22:42:28,42.1,53.0,99.8
2026-02-22 22:42:31,41.1,53.2,99.8
2026-02-22 22:42:36,100.0,53.5,99.8
2026-02-22 22:42:42,38.6,54.6,99.8
2026-02-22 22:42:46,18.8,54.6,99.8
2026-02-22 22:42:50,2.1,54.5,99.8
2026-02-22 22:42:53,0.0,54.4,99.8
2026-02-22 22:42:56,2.1,54.5,99.8
2026-02-22 22:42:59,7.7,54.5,99.8
2026-02-22 22:43:02,7.5,54.5,99.8
2026-02-22 22:43:05,4.0,54.5,99.8
2026-02-22 22:43:08,12.5,54.3,99.8
2026-02-22 22:43:11,19.6,54.3,99.8
2026-02-22 22:43:15,3.7,54.3,99.8
2026-02-22 22:43:18,14.6,54.2,99.8
2026-02-22 22:43:21,17.9,53.8,99.8
2026-02-22 22:43:24,16.4,53.7,99.8
2026-02-22 22:43:27,22.8,53.7,99.8
2026-02-22 22:43:30,12.0,53.7,99.8
2026-02-22 22:43:33,7.5,53.6,99.8
2026-02-22 22:43:36,41.1,54.6,99.8
2026-02-22 22:43:40,24.0,54.6,99.8
2026-02-22 22:43:43,20.8,54.6,99.8
2026-02-22 22:43:46,5.4,54.3,99.8
2026-02-22 22:43:49,21.4,54.3,99.8
2026-02-22 22:43:52,16.7,54.3,99.8
2026-02-22 22:43:55,1.8,54.3,99.8
2026-02-22 22:43:59,16.7,54.3,99.8
2026-02-22 22:44:02,6.2,54.3,99.8
2026-02-22 22:44:05,3.9,54.3,99.8
2026-02-22 22:44:08,4.0,54.3,99.8
2026-02-22 22:44:12,16.7,54.3,99.8
2026-02-22 22:44:15,27.1,54.2,99.8
2026-02-22 22:44:18,14.0,54.3,99.8
2026-02-22 22:44:22,13.2,54.3,99.8
2026-02-22 22:44:25,10.2,54.2,99.8
2026-02-22 22:44:29,12.5,54.2,99.8
2026-02-22 22:44:32,35.4,54.3,99.8
2026-02-22 22:44:35,12.5,54.4,99.8
2026-02-22 22:44:38,14.3,54.2,99.8
2026-02-22 22:44:41,32.8,54.0,99.8
2026-02-22 22:44:44,16.1,53.8,99.8
2026-02-22 22:44:48,19.1,53.8,99.8
2026-02-22 22:44:51,10.5,54.0,99.8
2026-02-22 22:44:54,2.1,53.9,99.8
2026-02-22 22:44:57,15.1,53.9,99.8
2026-02-22 22:45:00,56.1,54.3,99.8
2026-02-22 22:45:04,18.2,54.3,99.8
2026-02-22 22:45:07,22.8,54.3,99.8
2026-02-22 22:45:10,27.1,54.5,99.8
2026-02-22 22:45:13,13.7,54.4,99.8
2026-02-22 22:45:17,12.3,54.5,99.8
2026-02-22 22:45:20,25.5,54.4,99.8
2026-02-22 22:45:23,22.4,55.1,99.8
2026-02-22 22:45:24,38.0,55.2,99.8
2026-02-22 22:45:26,11.3,55.4,99.8
2026-02-22 22:45:27,3.6,55.4,99.8
2026-02-22 22:45:29,2.1,55.4,99.8
2026-02-22 22:45:31,90.2,55.3,99.8
2026-02-22 22:45:32,29.4,55.4,99.8
2026-02-22 22:45:34,32.8,55.4,99.8
2026-02-22 22:45:36,35.4,55.4,99.8
2026-02-22 22:45:38,7.0,55.4,99.8
2026-02-22 22:45:39,89.1,55.7,99.8
2026-02-22 22:45:41,6.1,56.0,99.8
2026-02-22 22:45:43,24.6,56.0,99.8
2026-02-22 22:45:45,2.0,56.0,99.8
2026-02-22 22:45:46,17.9,56.0,99.8
2026-02-22 22:45:48,33.9,56.0,99.8
2026-02-22 22:45:50,27.6,55.9,99.8
2026-02-22 22:45:51,23.2,55.9,99.8
2026-02-22 22:45:53,25.0,55.9,99.8
2026-02-22 22:45:54,14.6,56.0,99.8
2026-02-22 22:45:57,18.8,55.9,99.8
2026-02-22 22:45:58,46.6,56.0,99.8
2026-02-22 22:46:00,36.9,56.0,99.8
2026-02-22 22:46:01,47.9,56.0,99.8
2026-02-22 22:46:04,22.4,56.0,99.8
2026-02-22 22:46:05,40.4,56.1,99.8
2026-02-22 22:46:08,4.1,56.1,99.8
2026-02-22 22:46:08,40.4,56.1,99.8
